_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3182043,324785812,23176351,29,2023-11-06T10:00:00,"1500 Block Garfield Ave Pittsburgh, PA 15212",N,Central North Side,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2503,6,1,-80.01220163855268,40.45745267444068
3182044,324235775,23171535,27,2023-10-28T05:00:00,"7200 Block Monticello St Pittsburgh, PA 15208",N,Homewood North,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1302,9,2,-79.8954441338191,40.45951297202357
3182045,324798988,23176386,10,2023-11-06T10:30:00,"100 Block Ruth St Pittsburgh, PA 15211",Y,Mount Washington,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1807,2,5,-80.00523189796654,40.42379088929855
3182046,324799806,23176355,0,2023-11-06T11:00:00,"7300 Block Hamilton Ave Pittsburgh, PA 15208",Y,Homewood South,5,99,4524 Windshield Obstructions and Wipers. / 627.02(b)(i) Possessing a small amount of marijuana,1303,9,2,-79.89564758083468,40.454024491261066
3182047,324806932,23176425,6,2023-11-05T22:30:00,"700 Block Penn Ave Pittsburgh, PA 15219",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,,,-79.88467246658247,40.44351144212514
3182048,324810215,23176417,99,2023-11-06T12:51:00,"7000 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),1303,9,2,-79.90181463020195,40.4566120541176
3182049,324813870,23176479,99,2023-11-06T15:20:00,"100 Block Graeme St Pittsburgh, PA ",N,Central Business District,2,FOUND PROPERTY,9489 Found Property,201,,,,
3182050,324821831,23176482,6,2023-11-06T15:11:00,"6200 Block Penn Ave Pittsburgh, PA 15206",Y,East Liberty,5,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 5104 Resisting Arrest or Other Law Enforcement. / 5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING",1115,8,2,-79.92259331496999,40.46013933681722
3182051,324271122,23171752,10,2023-10-28T22:28:00,"1700 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,SIMPLE ASSAULT,2701 Simple Assault.,1702,3,3,-79.98187231372171,40.42859317552536
3182052,324900412,23176947,0,2023-11-07T11:41:00,"1500 Block Rockland Ave Pittsburgh, PA 15216",N,Beechview,6,99,9999 9999 - (Misc. Incident): ,1916,4,5,-80.02036781481688,40.41203819237264
3182053,324936298,23177206,18,2023-11-07T19:17:00,"5th Ave & Van Braam St Pittsburgh, PA 15219",Y,Bluff,2,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,103,6,3,-79.98260774609798,40.43845025480589
3182054,324267162,23172137,14,2023-10-29T14:57:00,"1400 Block Oakridge St Pittsburgh, PA 15226",N,Brookline,6,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 907 Possessing Instruments of Crime.,1918,4,5,-80.00837234702641,40.39125805543961
3182055,324267577,23172160,14,2023-10-29T15:21:00,"100 Block Art Rooney Ave Pittsburgh, CA 15212",Y,North Shore,1,INJURY/TAMP/FIRE APP-HYD-ETC,3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s),2205,1,6,-80.01577932158622,40.44678403083185
3182056,324267855,23172188,99,2023-10-29T16:00:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,LOST PROPERTY,9504 Lost Property,1106,9,2,-79.90861667551917,40.470305633259095
3182057,325011489,23177628,10,2023-11-08T13:45:00,"500 Block Mc Clintock Ave Pittsburgh, PA 15214",N,Perry South,1,HARRASSMENT,2709 Harassment (Non-Specific),2614,,,,
3182058,325012536,23177663,99,2023-11-08T16:30:00,"600 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,LOST PROPERTY,9504 Lost Property,201,6,6,-80.00162376467925,40.441780954713906
3182059,325019120,23177633,11,2023-11-08T15:00:00,"200 Block Dunseith St Pittsburgh, PA 15213",N,West Oakland,4,IDENTITY THEFT,4120 Identity Theft,402,6,3,-79.96488510210803,40.44046189244613
